Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
K. Watanabe;22;Japan;65;Yokohama F. Marinos;1.1M;Right;26;CAM
L. Amos;24;England;67;Queens Park Rangers;2.1M;Left;8;CM
V. Mykolenko;22;Ukraine;76;Dynamo Kyiv;14.5M;Left;16;LB
S. Okaka;31;Italy;75;İstanbul Başakşehir FK;4.8M;Right;77;ST
A. Zendejas;23;Mexico;68;Club Necaxa;2.7M;Left;21;LM
H. Paton;23;Canada;62;Ross County FC;875K;Right;6;CAM
Guitián;30;Spain;71;Club Bolívar;1.5M;Right;20;CB
J. Jones;25;Scotland;64;Wrexham AFC;800K;Right;30;CM
Tiago Dantas;20;Portugal;66;CD Tondela;2.1M;Right;28;CAM
21 O. Niasse;30;Senegal;71;Huddersfield Town;1.8M;Right;11;ST
21 W. Routledge;35;England;68;Swansea City;500K;Right;15;LM
J. El Yamiq;29;Morocco;73;Real Valladolid CF;2.8M;Right;15;CB
Rodrigo Muniz;20;Brazil;68;Fulham;2.9M;Right;19;ST
D. Gardner;31;England;63;Doncaster Rovers;400K;Right;23;LM
D. Ginczek;30;Germany;73;VfL Wolfsburg;3M;Right;33;ST
20 K. Karami;29;Morocco;65;Sparta Rotterdam;450K;Right;12;RB
J. Pereyra Díaz;30;Argentina;69;Kerala Blasters FC;1.3M;Right;30;RM
A. Buksa;24;Poland;72;New England Revolution;3.4M;Left;9;ST
L. Abada;19;Israel;70;Celtic;3.4M;Right;11;CAM
B. Nastić;26;Bosnia and Herzegovina;67;Jagiellonia Białystok;1M;Left;5;LWB
O. Lund;30;Denmark;67;Aarhus GF;875K;Right;15;RB
P. Pušić;22;Switzerland;68;Grasshopper Club Zürich;2.7M;Right;10;RM
Manu Sánchez;20;Spain;73;CA Osasuna;6.5M;Left;39;LB
M. O'Riley;20;England;66;Milton Keynes Dons;1.9M;Left;7;CM
17 M. Pérez Guedes;24;Argentina;68;Club Olimpo;1M;Right;30;RM
N. Zanellato;23;Italy;63;Crotone;1.1M;Right;21;CAM
18 D. N'Gog;28;France;68;Ross County FC;925K;Right;14;ST
21 D. Rose;32;England;62;Grimsby Town;275K;Left;4;CDM
K. Yılmaz;19;Turkey;60;Beşiktaş JK;575K;Right;41;CDM
T. Ndicka Matam;21;France;65;KV Oostende;1.5M;Left;7;LWB
21 Sim Sang Min;27;Korea Republic;67;Sangju Sangmu FC;975K;Left;6;LB
Madger Gomes;24;Spain;63;Crewe Alexandra;900K;Left;17;CAM
E. Boateng;27;Ghana;65;New England Revolution;750K;Left;11;LM
G. Whelan;37;Republic of Ireland;64;Bristol Rovers;110K;Right;26;CDM
S. Benchamma;21;France;63;Chamois Niortais Football Club;1M;Right;26;CAM
21 A. Diomande;30;Norway;69;Shijiazhuang Ever Bright F.C.;1.4M;Right;9;ST
M. Baturina;18;Croatia;64;Dinamo Zagreb;1.5M;Right;46;CAM
K. Jóźwiak;23;Poland;70;Derby County;3.2M;Right;7;RM
J. George;28;Germany;68;SSV Jahn Regensburg;1.2M;Right;9;RW
C. Shaughnessy;25;Republic of Ireland;64;Burton Albion;775K;Right;16;CDM
D. Wright;26;England;64;Hibernian;650K;Right;8;RM
E. Rivière;31;France;67;Crotone;850K;Right;97;ST
Fernando Andrade;28;Brazil;69;Al Fayha;1.4M;Right;9;ST
Elber;29;Brazil;70;Yokohama F. Marinos;1.6M;Right;7;LM
Zé Eduardo;29;Brazil;63;Sandefjord Fotball;475K;Right;8;CAM
Bojan;30;Spain;71;Vissel Kobe;1.8M;Right;9;CAM
A. Bell;27;Jamaica;68;Luton Town;1.3M;Left;29;LB
21 D. Iliev;31;Bulgaria;67;;0;Right;20;CF
20 L. Pérez;30;Mexico;65;Club Necaxa;450K;Right;6;CDM
Borja Bastón;28;Spain;73;Real Oviedo;3.1M;Right;9;ST
Benito;25;Spain;70;Unión Deportiva Las Palmas;1.9M;Left;11;RM
Danilo;22;Brazil;70;Ajax;3.6M;Right;9;ST
E. Adu;30;Ghana;67;Mjällby AIF;850K;Right;8;CDM
N. Milenković;23;Serbia;76;Fiorentina;14M;Right;4;CB
K. Parks;23;United States;69;New York City FC;2.2M;Right;55;CM
Y. Dhanda;22;England;67;Swansea City;2.3M;Right;21;CAM
19 R. van der Vaart;35;Netherlands;67;Esbjerg fB;325K;Left;10;CAM
T. Mitchell;21;England;71;Crystal Palace;4M;Left;3;LB
C. Missilou;28;Congo;62;Newport County;400K;Right;27;CDM
Chen Zhizhao;33;China PR;62;Guangzhou City;240K;Right;32;CM
C. Gebauer;27;Austria;68;FC Ingolstadt 04;1.3M;Right;22;LM
19 Carlos Martínez;32;Spain;69;Real Oviedo;575K;Right;19;CDM
L. Melano;28;Argentina;69;Club Atlético Central Córdoba;1.4M;Right;16;RM
B. Behrendt;29;Germany;69;Eintracht Braunschweig;1.2M;Right;30;CB
M. Borgnino;23;Argentina;66;Unión de Santa Fe;1.4M;Left;32;LM
J. Mellot;27;France;70;CD Tenerife;1.7M;Right;22;RB
S. Aluko;32;Nigeria;66;Ipswich Town;675K;Left;23;LW
20 F. Ceravolo;32;Italy;69;US Cremonese;850K;Right;30;ST
21 M. Yıldırım;33;Turkey;66;Gençlerbirliği SK;425K;Right;88;CDM
A. Canobbio;22;Uruguay;69;Club Atlético Peñarol;2.2M;Right;16;RM
E. Friberg;35;Sweden;66;BK Häcken;350K;Right;8;CM
M. Leitgeb;33;Austria;68;RZ Pellets Wolfsberger AC;600K;Right;16;CB
F. Escobar;26;Argentina;68;Newell's Old Boys;1.5M;Right;4;RB
21 A. Pérez;39;Colombia;67;Club Independiente Santa Fe;200K;Right;5;CDM
Gustavo Lobateiro;21;Brazil;72;Internacional;2.8M;Left;14;CAM
K. Wrzesiński;27;Poland;64;PGE FKS Stal Mielec;625K;Right;45;RM
A. Mabil;25;Australia;69;FC Midtjylland;1.7M;Right;11;RW
K. Appin;23;France;63;UD Ibiza;1M;Right;20;CDM
R. Kaib;24;Sweden;66;SC Heerenveen;1.1M;Left;13;LWB
N. Freeman;25;England;64;Wycombe Wanderers;775K;Right;22;RM
M. Antonsson;30;Sweden;66;Halmstads BK;850K;Right;9;ST
G. Svensson;34;Sweden;71;IFK Göteborg;650K;Right;13;CDM
M. Bottani;30;Switzerland;65;FC Lugano;700K;Right;10;RW
M. Pedersen;21;Norway;67;Feyenoord;2.4M;Right;2;RWB
Marcinho;26;Brazil;69;Kawasaki Frontale;1.6M;Right;23;RW
P. Köpke;25;Germany;69;1. FC Nürnberg;1.9M;Right;20;ST
G. Giakoumakis;26;Greece;74;Celtic;5.5M;Right;7;ST
P. Twumasi;27;Ghana;69;Hannover 96;1.5M;Right;7;LM
D. Ayala;18;Argentina;68;Estudiantes de La Plata;2.9M;Left;5;CDM
O. Wähling;21;Germany;64;VfL Osnabrück;1.3M;Right;10;CAM
A. Søderlund;33;Norway;68;FK Haugesund;775K;Right;16;ST
F. Becker;21;Germany;68;FC St. Pauli;2.7M;Left;20;CAM
M. Youssouf;33;Comoros;63;AC Ajaccio;250K;Left;20;RB
21 L. Conderia;27;Ecuador;69;;0;Right;6;ST
M. Poaty;23;France;65;Seraing;1M;Left;18;LB
M. Engels;27;Germany;68;Sparta Rotterdam;1.3M;Right;17;LM
T. Torun;31;Turkey;69;Fatih Karagümrük S.K.;1.2M;Right;20;RM
F. Ronstadt;23;Germany;68;SV Darmstadt 98;1.6M;Right;17;RB
21 D. Gravenberch;26;Netherlands;64;Sparta Rotterdam;700K;Right;19;ST
P. Cutrone;23;Italy;73;Empoli;4.7M;Right;9;ST
D. Whitehead;27;England;60;Port Vale;250K;Right;18;CAM
E. Vera;29;Mexico;65;Gallos Blancos de Querétaro;625K;Left;17;LB
Jorge Félix;29;Spain;69;Demir Grup Sivasspor;1.4M;Right;11;RW
V. Sourlis;18;Greece;64;Olympiacos CFP;1.5M;Right;90;RM
K. Karaman;27;Turkey;71;Beşiktaş JK;2.2M;Right;28;ST
21 J. Schryvers;23;Belgium;67;Waasland-Beveren;1.4M;Right;52;RWB
Vallejo;24;Spain;75;Real Madrid CF;7M;Right;5;CB
Alberto Moreno;19;Spain;64;Atlético de Madrid;1.5M;Right;34;CAM
21 A. Nkaka;24;Belgium;66;SC Paderborn 07;1.6M;Right;6;CB
S. Arab;20;France;64;Paris FC;1.3M;Right;6;RM
M. Đuričin;28;Austria;67;FK Austria Wien;1M;Right;92;ST
21 J. Omolo;30;Kenya;65;BB Erzurumspor;600K;Right;8;CDM
E. Embleton;22;England;63;Sunderland;1.1M;Right;8;CAM
21 E. Mangala;29;France;74;Valencia CF;3.5M;Left;4;CB
S. Cáceres;21;Uruguay;74;Club América;9M;Right;4;CB
Martín;25;Spain;75;Deportivo Alavés;7.5M;Right;21;RB
M. Leitsch;23;Germany;72;VfL Bochum 1848;3.4M;Left;29;CB
J. Dörfler;24;Germany;66;SC Paderborn 07;1.2M;Right;16;RWB
K. Leshabela;21;South Africa;64;Shrewsbury Town;1.3M;Right;24;RM
Aylton Boa Morte;27;Portugal;70;Portimonense SC;1.7M;Right;77;RW
J. Delem;28;France;64;Seattle Sounders FC;575K;Right;8;RWB
M. Costly;25;Germany;66;SV Waldhof Mannheim 07;1.1M;Right;17;RWB
N. Hämäläinen;24;Finland;67;LA Galaxy;1.9M;Left;15;LWB
A. Walkes;24;England;67;Atlanta United;2.1M;Right;4;CB
M. te Wierik;29;Netherlands;69;FC Groningen;1.2M;Right;5;CB
D. Moreno;29;Colombia;69;Junior FC;1.2M;Right;6;CDM
J. Bajandouh;28;Saudi Arabia;65;Al Shabab;625K;Right;6;CDM
R. Corlu;22;Denmark;66;Brøndby IF;1.4M;Left;7;CAM
21 D. Templeton;31;Scotland;63;Hamilton Academical FC;400K;Right;10;RW
J. Torunarigha;23;Germany;73;Hertha BSC;6.5M;Left;25;CB
K. Gorré;26;Curacao;69;Boavista FC;1.5M;Right;7;LW
A. Rufer;25;New Zealand;61;Wellington Phoenix;425K;Right;14;CM
J. Þorsteinsson;22;Iceland;70;Aarhus GF;2.6M;Right;17;RM
Y. Sarı;22;Turkey;71;Trabzonspor;3.8M;Left;7;RW
T. Nishimura;24;Japan;68;Vegalta Sendai;1.8M;Right;15;ST
I. Reyes;21;Mexico;65;Puebla FC;1.7M;Right;12;CB
21 A. Figuera;30;Venezuela;69;;0;Right;19;CDM
21 M. Gardyne;34;Scotland;63;Ross County FC;230K;Right;7;LM
Genaro;23;Spain;66;Málaga CF;1.8M;Right;16;CDM
T. Blackmon;24;United States;68;Los Angeles FC;1.7M;Right;27;RWB
C. González;28;Paraguay;74;Tigres U.A.N.L.;4.3M;Right;32;ST
20 Dani Molina;23;Spain;64;RC Celta de Vigo;650K;Left;30;CAM
M. Bloomfield;37;England;62;Wycombe Wanderers;130K;Right;10;CDM
M. Djitté;21;Senegal;70;Austin FC;3.6M;Right;99;ST
21 H. Demir;22;Turkey;63;Kasimpaşa SK;700K;Right;14;CM
M. Frydrych;31;Czech Republic;68;Wisła Kraków;825K;Right;25;CB
Rafael Cachoira;21;Brazil;75;RB Bragantino;6M;Right;6;CB
C. Bayala;25;Burkina Faso;68;AC Ajaccio;1.6M;Right;14;RM
F. Miya;22;Uganda;67;İttifak Holding Konyaspor;1.6M;Right;21;RM
Li Shenglong;28;China PR;63;Shanghai Port FC;500K;Right;14;ST
21 S. Bocchetti;33;Italy;72;Hellas Verona;1.1M;Left;17;CB
G. Korte;30;Germany;66;SV Wehen Wiesbaden;825K;Left;7;LM
21 M. Olsson;32;Sweden;66;Helsingborgs IF;600K;Left;3;LB
20 R. Rodriguez;28;Switzerland;66;KFC Uerdingen 05;650K;Right;11;LM
Z. Al Sahafi;27;Saudi Arabia;67;Al Ittihad;1.2M;Right;4;CB
M. Virtue;24;England;62;Blackpool;625K;Right;17;CM
S. Stangl;29;Austria;64;SV Wehen Wiesbaden;525K;Left;20;LB
T. Coulibaly;20;France;70;VfB Stuttgart;3.5M;Left;7;LM
J. Fujita;19;Japan;64;Tokushima Vortis;1.2M;Right;13;CDM
O. Macías;22;Mexico;62;Fútbol Club Juárez;800K;Right;20;CAM
D. Buballa;31;Germany;66;Viktoria Köln;575K;Left;5;CB
14 D. Trezeguet;35;France;74;Newell's Old Boys;1.1M;Right;17;ST
E. Jirka;23;Slovakia;69;Real Oviedo;2.2M;Right;11;RM
C. Mavinga;30;Congo DR;70;Toronto FC;1.3M;Left;23;CB
G. Merloi;21;Romania;63;FC Voluntari;975K;Left;10;LM
L. Sigali;34;Argentina;75;Racing Club;1.8M;Right;30;CB
J. Sekidika;24;Nigeria;68;Oud-Heverlee Leuven;1.6M;Right;77;RM
J. Pohjanpalo;26;Finland;73;Çaykur Rizespor;3.6M;Right;20;ST
Cristo Romero;21;Spain;68;Real Sociedad B;2.6M;Left;16;LM
C. Fierro;26;Mexico;67;San Jose Earthquakes;1.1M;Right;7;LM
M. Chahiri;24;France;69;Stade Malherbe Caen;1.9M;Right;26;RM
Barrenetxea;19;Spain;74;Real Sociedad;9M;Right;22;LW
21 M. Sax;27;Austria;66;FC Flyeralarm Admira;900K;Right;43;RM
20 G. De Luca;27;Italy;66;Virtus Entella Chiavari;675K;Right;7;RW
C. Colmán;27;Paraguay;69;Godoy Cruz;1.6M;Right;17;ST
20 W. Atkinson;30;England;61;Port Vale;230K;Right;12;RWB
S. van Wermeskerken;27;Japan;68;PEC Zwolle;1.3M;Right;31;RB
M. Villanueva;28;Venezuela;72;Santa Clara;2.4M;Left;3;CB
17 G. Samaras;31;Greece;69;Real Zaragoza;900K;Right;5;ST
A. Munksgaard;23;Denmark;67;Aarhus GF;1.4M;Right;13;RB
K. Lafferty;33;Northern Ireland;67;;0;Right;10;ST
N. Orellana;25;Chile;67;Unión La Calera;1.2M;Left;22;ST
Léo Sena;25;Brazil;65;Spezia;900K;Right;88;CM
R. Pröpper;27;Netherlands;69;FC Twente;1.4M;Right;3;CB
21 E. Berg;31;Sweden;71;Djurgårdens IF;1.3M;Right;21;CB
F. Brown Forbes;29;Costa Rica;65;Wisła Kraków;725K;Right;91;ST
E. Castillo;26;Ecuador;68;Club Tijuana;1.4M;Right;7;RM
Bryan Gil;20;Spain;76;Tottenham Hotspur;16.5M;Left;11;CAM
W. Zimmerman;28;United States;74;Nashville SC;4.2M;Right;25;CB
Y. Keitel;21;Germany;67;Sport-Club Freiburg;2.2M;Right;14;CDM
Asumah Abubakar;24;Portugal;67;FC Lugano;2.1M;Right;17;ST
S. Christiansen;20;Norway;63;Borussia Mönchengladbach;1M;Right;45;CM
F. Rieder;19;Switzerland;64;BSC Young Boys;1.5M;Left;32;CAM
I. Hutchinson;21;England;62;Derby County;900K;Right;40;RM
T. Bradshaw;28;Wales;69;Millwall;1.4M;Right;9;ST
F. Okenabirhie;25;England;65;Doncaster Rovers;1.1M;Right;9;ST
21 G. Kostadinov;29;Bulgaria;68;;0;Right;7;CDM
J. Bauza;25;Argentina;63;FC U Craiova 1948;700K;Right;10;RM
M. Stamenic;19;New Zealand;63;;0;Right;8;CAM
M. Bayo;23;Guinea;73;Clermont Foot 63;6M;Right;27;ST
Álex López;24;Spain;68;CD Mirandés;2.4M;Right;6;CAM
R. Hack;22;Germany;71;DSC Arminia Bielefeld;4.2M;Right;21;RM
V. Sulejmani;25;Kosovo;67;Hannover 96;1.5M;Right;19;ST
K. Itakura;24;Japan;74;FC Schalke 04;6M;Right;3;CB
M. Cassierra;23;Colombia;72;Belenenses SAD;4.7M;Right;9;ST
C. Norman;25;England;63;Newport County;575K;Right;2;RWB
21 M. Barragán;28;Mexico;66;Club Necaxa;875K;Right;17;ST
C. Akpom;25;England;71;PAOK;2.6M;Right;47;ST
B. Chardonnet;26;France;74;Stade Brestois 29;4.9M;Right;5;CB
R. Redes;21;Paraguay;66;Austin FC;1.9M;Right;11;CAM
20 D. Lovren;29;Croatia;80;Liverpool;12.5M;Right;6;CB
S. Walsh;26;Netherlands;69;KV Mechelen;1.6M;Right;5;RWB
T. Archibald;23;Scotland;60;Leyton Orient;350K;Left;11;LM
S. Burgess;23;England;61;Port Vale;450K;Right;25;RM
Marrony;22;Brazil;67;FC Midtjylland;2.5M;Right;38;ST
A. Beka Beka;20;France;65;FC Lokomotiv Moscow;1.6M;Right;8;CDM
U. Bozok;24;France;69;Kasimpaşa SK;2.1M;Right;19;ST
19 T. Mykhalyk;34;Ukraine;74;FC Lokomotiv Moscow;1.7M;Right;17;CB
E. Torregrossa;29;Italy;71;U.C. Sampdoria;1.9M;Left;9;ST
Osvaldão Murilo;21;Brazil;73;RB Bragantino;3.1M;Right;2;CB
T. De Smet;23;Belgium;69;K Beerschot VA;3M;Left;29;LB
D. Andrade;27;Mexico;66;Santos Laguna;825K;Left;14;LB
T. Ebuehi;25;Nigeria;69;Venezia FC;1.7M;Right;22;RB
B. Finne;26;Norway;66;SK Brann;1M;Right;11;LW
21 Y. Vorogovskiy;23;Kazakhstan;68;K Beerschot VA;1.7M;Left;24;CB
A. Çankaya;23;Turkey;66;Göztepe SK;1.8M;Right;23;CB
21 A. Baumjohann;33;Germany;69;Sydney FC;875K;Right;5;CAM
Aitor Buñuel;23;Spain;70;Unión Deportiva Almería;2.4M;Right;2;RWB
G. Carrillo;30;Argentina;71;Elche CF;1.8M;Right;7;ST
F. Lustenberger;33;Switzerland;75;BSC Young Boys;2.7M;Right;28;CB
T. Doyle;19;England;62;Hamburger SV;1M;Right;8;CAM
21 T. Lapslie;24;England;63;Colchester United;625K;Right;4;CB
E. Nketiah;22;England;74;Arsenal;8.5M;Right;30;ST
21 R. Shotton;31;England;69;Melbourne Victory;950K;Right;5;CB
A. Thapa;23;India;62;Chennaiyin FC;825K;Right;15;RM
J. Knight;23;England;68;Peterborough United;2.2M;Right;12;CB
M. Hjulmand;22;Denmark;67;Lecce;2.3M;Right;42;CM
21 L. Viatri;33;Argentina;72;Club Atlético Colón;1.5M;Right;9;ST
J. Yates;24;England;68;Blackpool;1.8M;Right;9;ST
C. Holse;22;Denmark;68;Rosenborg BK;2.7M;Left;11;LM
S. Molina;29;Italy;67;Crotone;1M;Right;17;RM
E. Kara;25;Austria;73;SK Rapid Wien;4.1M;Right;14;ST
R. Gall;26;United States;64;Malmö FF;650K;Right;18;LM
C. Abastoflor;19;Bolivia;62;Club The Strongest;950K;Right;40;CAM
M. Polster;28;United States;69;New England Revolution;1.2M;Right;8;CDM
Pedro Augusto;24;Brazil;68;CD Tondela;2.3M;Left;6;CDM
A. Gutiérrez;21;Mexico;64;Cruz Azul;1.4M;Left;20;CM
M. Friedrich;25;Germany;78;1. FC Union Berlin;15.5M;Right;5;CB
S. Karamoko;28;France;65;AS Nancy Lorraine;650K;Right;18;RB
21 M. Heller;34;Germany;66;SC Paderborn 07;400K;Right;24;RW
F. Pogba;30;Guinea;68;FC Sochaux-Montbéliard;1M;Left;19;CB
C. Akolo;26;Congo DR;70;Amiens SC;1.7M;Right;19;RM
M. Yatabaré;35;Mali;71;Demir Grup Sivasspor;800K;Right;9;ST
Gabriel;23;Brazil;79;Arsenal;24M;Left;6;CB
20 T. Gebhart;30;Germany;64;TSV 1860 München;425K;Right;10;CAM
J. Brenet;27;Netherlands;70;TSG Hoffenheim;1.5M;Right;2;LB
18 Kike Sola;31;Spain;68;Athletic Club de Bilbao;800K;Right;9;ST
21 E. Segberg;23;Norway;63;IK Start;1M;Right;23;CDM
S. High;20;England;63;Huddersfield Town;1.2M;Right;15;CM
Álvaro García;21;Spain;66;RCD Espanyol de Barcelona;2M;Left;27;CDM
Aridane;32;Spain;77;CA Osasuna;7M;Right;23;CB
T. Hemed;34;Israel;69;Western Sydney Wanderers;675K;Right;10;ST
R. Decostere;23;Belgium;67;KSV Cercle Brugge;1.9M;Left;8;RWB
J. Lahne;19;Sweden;61;Amiens SC;725K;Right;26;CAM
P. Szysz;23;Poland;67;Zagłębie Lubin;2.3M;Right;17;RM
Glauder;25;Spain;69;SD Eibar;1.9M;Left;24;CB
C. Kane;26;Scotland;64;St. Johnstone FC;700K;Right;9;ST
Samuel Lino;21;Brazil;68;Gil Vicente FC;2.7M;Right;29;ST
S. Ferreira;23;Paraguay;72;Club Libertad;5M;Right;7;ST
21 M. Badu;23;Germany;65;Spartak Moskva;1.1M;Right;21;RM
J. Dacres-Cogley;25;England;65;Tranmere Rovers;875K;Right;2;RB
H. Dotson;23;United States;66;Minnesota United FC;1.2M;Right;31;CDM
C. Whelan;22;England;62;Oldham Athletic;800K;Right;8;CM
K. Mac Allister;23;Argentina;71;Argentinos Juniors;4M;Right;4;LB
21 A. Cistana;23;Italy;70;Brescia;3.3M;Right;15;CB
Suk Hyun Jun;30;Korea Republic;68;ESTAC Troyes;1.2M;Right;9;ST
J. Tolkin;18;United States;63;New York Red Bulls;1.1M;Left;47;LM
Robert Navarro;19;Spain;67;Real Sociedad;2.6M;Right;29;CAM
B. Afobe;28;Congo DR;68;Millwall;1.2M;Right;23;ST
L. Caldirola;30;Italy;71;AC Monza;1.5M;Left;5;CB
B. Purrington;25;England;66;Charlton Athletic;975K;Left;3;LB
J. Nikolaou;27;Germany;68;Eintracht Braunschweig;1.2M;Left;4;CB
G. Mackay-Steven;30;Scotland;67;Heart of Midlothian;975K;Left;11;LW
R. Cherki;17;France;73;Olympique Lyonnais;7M;Left;18;CAM
J. Carls;24;Germany;66;SC Paderborn 07;1.6M;Left;28;LB
J. Morrell;24;Wales;66;Portsmouth;1.3M;Right;21;CAM
20 B. Alıcı;22;Turkey;70;Çaykur Rizespor;2.5M;Right;24;RW
E. Giménez;23;Paraguay;67;Club Cerro Porteño;2.3M;Right;7;RM
J. Świerczok;28;Poland;72;Nagoya Grampus;2.4M;Right;40;ST
Felipe Vizeu;24;Brazil;71;Yokohama FC;2.7M;Left;50;ST
T. Jacobsen;24;Germany;65;SV Werder Bremen;925K;Left;37;LWB
R. Rios;21;Colombia;67;Mazatlán Futbol Club;2.2M;Right;18;CDM
Aimar Oroz;19;Spain;64;CA Osasuna;1.4M;Right;30;CAM
21 A. Björnström;24;Sweden;67;IK Sirius;1.3M;Left;16;LB
R. Holding;25;England;77;Arsenal;13M;Right;16;CB
N. Mazzola;31;Argentina;69;Arsenal de Sarandí;1.2M;Right;12;ST
O. Kiomourtzoglou;23;Germany;68;Heracles Almelo;1.7M;Right;6;CB
C. Souaré;18;France;60;Olympique de Marseille;575K;Left;41;LM
M. Novak;30;Austria;67;RZ Pellets Wolfsberger AC;875K;Right;27;RB
J. Clisby;29;Australia;63;Perth Glory;425K;Left;14;LB
21 Marcelinho;35;Bulgaria;68;;0;Right;10;CAM
J. Emmanuel;23;England;67;Hull City;1.5M;Right;12;RWB
Nathan;26;Brazil;68;San Jose Earthquakes;1.4M;Right;13;CB
G. Thomas;24;Wales;64;Queens Park Rangers;925K;Right;14;CAM
D. Zima;20;Czech Republic;74;Torino F.C.;7.5M;Right;6;CB
C. Lavery;28;Northern Ireland;62;Bradford City;400K;Right;29;ST
H. Alpsoy;24;Turkey;65;Antalyaspor;1.5M;Right;22;CDM
Naranjo;26;Spain;68;SD Ponferradina;1.3M;Right;20;ST
B. Halloran;29;Australia;67;Adelaide United;1M;Right;26;RM
Leândro;37;Brazil;65;Górnik Łęczna;160K;Left;3;LB
21 A. Morenzo;28;Ecuador;69;;0;Left;17;CAM
J. Björkengren;22;Sweden;65;Lecce;1.5M;Left;23;CDM
C. Borthwick-Jackson;24;England;64;Burton Albion;775K;Left;3;CDM
O. Estupiñán;24;Colombia;70;Vitória de Guimarães;3.2M;Left;19;ST
J. Jones;26;Northern Ireland;68;Wigan Athletic;1.4M;Right;14;LM
Fran García;28;Spain;67;Burgos CF;925K;Left;3;LB
S. Iljutcenko;30;Russia;72;Jeonbuk Hyundai Motors;2.3M;Right;10;ST
J. Valencia;26;Ecuador;65;Brentford;775K;Right;16;LM
M. Krmenčík;28;Czech Republic;72;SK Slavia Praha;2.4M;Right;22;ST
J. Kamiński;19;Poland;68;Lech Poznań;2.9M;Right;7;RM
A. Seck;29;Senegal;72;Royal Antwerp FC;2.2M;Right;30;CB
J. Vestergaard;28;Denmark;78;Leicester City;13.5M;Right;23;CB
L. O'Neil;27;England;62;Cambridge United;425K;Right;8;CDM
20 M. Gómez;33;Germany;74;VfB Stuttgart;3.5M;Right;27;ST
A. Mosquera;31;Colombia;73;Club León;2.1M;Right;4;CB
19 A. Cinelli;28;Italy;67;Chievo Verona;750K;Right;46;CM
A. Ujah;30;Nigeria;70;1. FC Union Berlin;1.6M;Right;11;ST
N. Reniero;26;Argentina;68;Argentinos Juniors;1.4M;Right;32;ST
E. Doyle;33;Republic of Ireland;66;Bolton Wanderers;550K;Right;9;ST
Y. Nader;22;United Arab Emirates;68;Al Ain FC;2.6M;Right;6;CDM
L. Da Cunha;20;France;67;OGC Nice;2.2M;Left;29;CAM
M. Terrazzino;30;Germany;67;Lechia Gdańsk;975K;Right;33;LM
19 P. Lasogga;26;Germany;73;Hamburger SV;4.8M;Right;10;ST
S. Lex;31;Germany;66;TSV 1860 München;725K;Right;7;RM
I. Ssewankambo;25;Sweden;65;Östersunds FK;800K;Right;8;CDM
Dani Morer;22;Spain;65;Futebol Clube de Famalicão;1.5M;Right;2;RB
Arturo Molina;25;Spain;65;CF Fuenlabrada;950K;Right;22;CAM
21 T. Nydam;20;England;62;Ipswich Town;875K;Left;16;LM
J. Sterry;25;England;63;Hartlepool United;650K;Right;2;RWB
21 A. Mățel;30;Romania;64;AFC Hermannstadt;500K;Right;77;RB
N. Kijewski;25;Germany;67;Eintracht Braunschweig;1.2M;Left;27;LB
B. Ndoye;27;Senegal;65;FC Sion;800K;Right;34;CB
A. Boljević;25;Montenegro;69;Standard de Liège;1.7M;Right;45;RM
R. Hedges;25;Wales;69;Aberdeen;1.7M;Left;11;LM
B. Garré;20;Argentina;68;Racing Club;2.6M;Left;17;LM
Hugo Vieira;32;Portugal;64;FC U Craiova 1948;475K;Right;7;RW
J. O'Sullivan;27;Republic of Ireland;65;Accrington Stanley;750K;Right;7;RM
G. Crociata;23;Italy;68;Empoli;2.4M;Right;14;CAM
O. Hoban;38;Romania;65;CFR Cluj;140K;Right;28;CDM
19 B. Kukeli;34;Albania;62;FC Sion;150K;Left;16;CM
N. Landgraf;25;Germany;65;Hallescher FC;925K;Left;31;LWB
I. Ugbo;22;England;71;KRC Genk;3.8M;Right;21;ST
20 T. Amang;21;Cameroon;63;Kristiansund BK;550K;Right;20;ST
C. Evans;30;Northern Ireland;66;Sunderland;725K;Right;4;CDM
N. Laursen;23;Denmark;67;Heracles Almelo;1.5M;Left;11;CAM
J. Altamirano;21;Chile;63;CD Huachipato;1.1M;Left;14;CAM
K. Ludewig;21;Germany;65;FC Red Bull Salzburg;1.5M;Right;29;RB
F. Holender;25;Hungary;68;;0;Left;11;LW
Mini;22;Spain;63;Atlético de Madrid;1.1M;Right;30;CDM
21 Óscar Rubio;36;Spain;65;CE Sabadell FC;160K;Right;12;RB
K. Ofori;19;Ghana;63;SC Paderborn 07;1.1M;Right;14;CAM
C. Johnson;24;England;66;Fleetwood Town;1.3M;Right;26;RWB
L. Balerdi;22;Argentina;74;Olympique de Marseille;9M;Right;5;CB
R. Schwartz;31;Denmark;66;Charlton Athletic;725K;Right;29;ST
D. Granli;27;Norway;66;Aalborg BK;975K;Right;5;CB
H. Mendes;23;France;68;FC Lorient;1.7M;Right;17;CB
M. Wdowiak;24;Poland;66;Raków Częstochowa;1.1M;Right;17;RM
21 A. Dursun;21;Turkey;65;Trabzonspor;1.5M;Left;33;LB
P. Hoban;29;Republic of Ireland;65;Dundalk FC;725K;Right;9;ST
J. Williams;33;United States;68;Columbus Crew;575K;Right;3;CB
Y. Kakita;23;Japan;66;Tokushima Vortis;1.4M;Right;19;ST
